#time,	NE,	NI
1125	0.2018	0.0002
1126	0.6072	0.0676
1127	0.4158	0.1026
1128	0.0548	0.0096
1129	0.1054	0.0206
1130	0.1358	0.0218
1131	0.0426	0.011
1132	0.022	0.018
1133	0.0008	0.0002
1134	0.2278	0.0002
1135	0.625	0.0738
1136	0.3982	0.098
1137	0.0886	0.0156
1138	0.128	0.0214
1139	0.1598	0.0142
1140	0.0786	0.0208
1141	0.0004	0.0032
1142	0.0012	0.0034
1143	0.2478	0.0216
1144	0.5928	0.0698
1145	0.3878	0.0958
1146	0.0902	0.019
1147	0.0974	0.016
1148	0.1322	0.0198
1149	0.0376	0.0106
1150	0.0106	0.0098
1151	0.0554	0.0222
1152	0.2308	0.0176
1153	0.5638	0.0786
1154	0.3702	0.091
1155	0.0822	0.0168
1156	0.1182	0.0194
1157	0.0738	0.0112
1158	0.0336	0.0096
1159	0.0654	0.0228
1160	0.0004	0.0176
1161	0.2276	0
1162	0.5946	0.0826
1163	0.3978	0.094
1164	0.1262	0.0178
1165	0.0988	0.0128
1166	0.0862	0.0096
1167	0.0856	0.0212
1168	0.0754	0.0222
1169	0.0004	0.0104
1170	0.2502	0.0204
1171	0.5898	0.0726
1172	0.3908	0.0934
1173	0.0802	0.0124
1174	0.0526	0.0102
1175	0.0972	0.0204
1176	0.0862	0.0214
1177	0.024	0.0122
1178	0.001	0.0096
1179	0.2836	0.0104
1180	0.6584	0.0982
1181	0.3852	0.09
1182	0.0614	0.0066
1183	0.1048	0.017
1184	0.1646	0.0216
1185	0.0784	0.0216
1186	0.0008	0
1187	0.0016	0
1188	0.2858	0.0124
1189	0.6408	0.0924
1190	0.3528	0.0854
1191	0.0674	0.0116
1192	0.115	0.0212
1193	0.198	0.0224
1194	0.0848	0.022
1195	0.0002	0.0008
1196	0.001	0.0002
1197	0.3384	0.0358
