#time,	NE,	NI
1114	0.1204	0.0292
1115	0.1174	0.024
1116	0.1798	0.0366
1117	0.2146	0.0512
1118	0.1492	0.0368
1119	0.1906	0.0388
1120	0.21	0.038
1121	0.2296	0.0576
1122	0.014	0.0002
1123	0.1124	0.021
1124	0.1212	0.028
1125	0.1212	0.0258
1126	0.1282	0.0298
1127	0.0616	0.0002
1128	0.2298	0.058
1129	0.082	0.0102
1130	0.257	0.0648
1131	0.074	0.0112
1132	0.2494	0.057
1133	0.2006	0.0476
1134	0.1234	0.025
1135	0.1416	0.0336
1136	0.0548	0.0008
1137	0.228	0.0574
1138	0.0804	0.0034
1139	0.2302	0.0576
1140	0.033	0.0128
1141	0.0704	0.0102
1142	0.118	0.0286
1143	0.0296	0.0004
1144	0.162	0.0386
1145	0.0542	0.019
1146	0.153	0.0474
1147	0.171	0.041
1148	0.1552	0.0448
1149	0.1614	0.0368
1150	0.1718	0.0436
1151	0.139	0.0352
1152	0.1402	0.0264
1153	0.117	0.0292
1154	0.0304	0.0092
1155	0.2524	0.0636
1156	0.0678	0.0106
1157	0.1504	0.0394
1158	0.1102	0.0206
1159	0.1176	0.0304
1160	0.005	0.0002
1161	0.043	0.0106
1162	0.0382	0.0096
1163	0.0862	0.0216
1164	0.0494	0.0118
1165	0.0762	0.0202
1166	0.0832	0.0212
1167	0.2806	0.076
1168	0.1356	0.0384
1169	0.3402	0.0818
1170	0.169	0.0412
1171	0.1152	0.0234
1172	0.1618	0.0408
1173	0.0852	0.0104
1174	0.171	0.0426
1175	0.0332	0.0012
1176	0.0946	0.0238
1177	0.1094	0.015
1178	0.232	0.0614
1179	0.1908	0.0352
1180	0.2678	0.066
1181	0.2144	0.0536
1182	0.002	0.0012
1183	0.001	0.0002
1184	0.0008	0
1185	0.0004	0.0002
1186	0.0006	0.0002
1187	0.0006	0.0002
1188	0.0016	0
1189	0.047	0.0114
1190	0.1216	0.0352
1191	0.4314	0.1082
1192	0.3104	0.0662
1193	0.229	0.0576
1194	0.0072	0.0006
1195	0.0012	0.0002
