#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
911	0.2814	0.0646
912	0.159	0.0368
913	0.0878	0.018
914	0.0386	0.0088
915	0.0162	0.0032
916	0.0052	0.0002
917	0.0024	0.0002
918	0.0016	0.0002
919	0.0014	0.0002
920	0.0058	0.0014
921	0.0318	0.0068
922	0.2974	0.0786
923	0.3	0.066
924	0.4082	0.0984
925	0.2102	0.048
926	0.1234	0.0296
927	0.0572	0.015
928	0.0258	0.0068
929	0.0102	0.003
930	0.005	0.001
931	0.0026	0.0008
932	0.0014	0
933	0.0054	0.002
934	0.0052	0.0012
935	0.1016	0.0236
936	0.3898	0.1022
937	0.2696	0.0664
938	0.1852	0.046
939	0.117	0.028
940	0.0594	0.014
941	0.0214	0.0044
942	0.0078	0.0016
943	0.0032	0.0006
944	0.0018	0.0006
945	0.0008	0.0004
946	0.002	0.0004
947	0.0098	0.0036
948	0.0834	0.0234
949	0.2	0.047
950	0.3448	0.0856
951	0.2254	0.0564
952	0.1554	0.0362
953	0.0916	0.0216
954	0.0396	0.0102
955	0.0154	0.005
956	0.007	0.0016
957	0.003	0.0008
958	0.002	0.0008
959	0.0016	0.0002
960	0.0018	0.0004
961	0.0154	0.0042
962	0.1934	0.049
963	0.3272	0.077
964	0.3476	0.0868
965	0.2398	0.0642
966	0.111	0.0278
967	0.05	0.0116
968	0.0216	0.0054
969	0.0098	0.0028
970	0.0032	0.001
971	0.0012	0.0006
972	0.0012	0.0004
973	0.0012	0.0006
974	0.0032	0.0002
975	0.011	0.0032
976	0.1562	0.0374
977	0.3774	0.096
978	0.273	0.0642
979	0.2448	0.0594
980	0.1272	0.028
981	0.0612	0.0134
982	0.0252	0.006
983	0.011	0.002
984	0.0046	0.001
985	0.0016	0.0006
986	0.0012	0.0004
987	0.0006	0.0004
988	0.0124	0.0024
989	0.1192	0.0268
990	0.4126	0.1006
991	0.4064	0.0972
992	0.3228	0.0784
993	0.1744	0.0424
994	0.0876	0.0214
995	0.038	0.0086
996	0.0134	0.0026
997	0.0046	0.002
998	0.0026	0.0012
999	0.002	0
1000	0.0016	0.0004
1001	0.003	0.0016
1002	0.012	0.0026
1003	0.2182	0.0556
1004	0.3256	0.0784
1005	0.2754	0.064
1006	0.2012	0.0486
1007	0.1042	0.0238
1008	0.0482	0.0096
1009	0.0194	0.0032
1010	0.0086	0.0024
1011	0.003	0.001
1012	0.0012	0.0004
1013	0.0014	0
1014	0.0018	0.0004
1015	0.014	0.0036
1016	0.1504	0.0338
1017	0.4592	0.118
1018	0.2754	0.0682
1019	0.2126	0.0534
1020	0.114	0.0262
1021	0.0574	0.0098
1022	0.0226	0.0046
1023	0.007	0.001
1024	0.0032	0.0006
1025	0.0008	0.0004
1026	0.0006	0.0002
1027	0.0016	0.0006
1028	0.0184	0.0036
1029	0.2568	0.0666
1030	0.2824	0.0698
1031	0.212	0.0522
1032	0.1162	0.0272
1033	0.061	0.013
1034	0.0258	0.0068
1035	0.012	0.0026
1036	0.0042	0.0008
1037	0.002	0.0002
1038	0.0008	0
1039	0.0012	0
1040	0.002	0
1041	0.0062	0.0014
1042	0.1176	0.033
1043	0.222	0.052
1044	0.3662	0.0926
1045	0.1878	0.045
1046	0.1074	0.0274
1047	0.05	0.012
1048	0.02	0.005
1049	0.0064	0.0022
1050	0.0022	0.0014
1051	0.0012	0.0006
1052	0.0006	0.0002
1053	0.0006	0
1054	0.0006	0.0002
1055	0.0022	0.0004
1056	0.0216	0.0042
1057	0.3214	0.0796
1058	0.3828	0.0934
1059	0.3482	0.0874
1060	0.2118	0.0522
1061	0.1138	0.0306
1062	0.0522	0.0128
1063	0.021	0.0052
1064	0.0092	0.0026
1065	0.0034	0.0004
1066	0.0006	0.0002
1067	0.001	0.0002
1068	0.003	0.001
1069	0.0072	0.0014
1070	0.1148	0.0284
1071	0.334	0.0844
1072	0.3224	0.0792
1073	0.2054	0.0512
1074	0.1022	0.024
1075	0.0456	0.0086
1076	0.0178	0.0032
1077	0.0084	0.0014
1078	0.0014	0.0002
1079	0.001	0.0002
1080	0.001	0.0004
1081	0.0004	0.0004
1082	0.0018	0.0006
1083	0.0024	0.0002
1084	0.021	0.0052
1085	0.2122	0.056
1086	0.297	0.072
1087	0.3278	0.0772
1088	0.2312	0.058
1089	0.1404	0.0336
1090	0.0672	0.0178
1091	0.0256	0.0064
1092	0.0108	0.003
1093	0.0054	0.0012
1094	0.0024	0.0004
1095	0.001	0.0002
1096	0.0022	0.0008
1097	0.006	0.0016
1098	0.0496	0.0116
1099	0.3226	0.0858
1100	0.2722	0.07
1101	0.1974	0.0514
1102	0.1266	0.035
1103	0.0578	0.014
1104	0.0236	0.006
1105	0.009	0.0014
1106	0.0038	0.0008
1107	0.0024	0.0004
